otel_adi,yorum,hizmet,tarih,puan
ASPAT HOTEL BODRUM Beach Restaurant,"Öncelikle eksi yönlerini söylemek isterim
Maalesef ki oteli işleten kişi sanırım temizlik ve kahvaltı konularıyla pek alakalı değil ilgilenmiyor. Çünki odadaki tuvalet ve duş yerleri el yıkama yerleri komple PAS içinde detaylı temizlik yapılmadığı için zamanla paslanmış ve temizlik istediğimizde ise sadece paspas ve nevresim değişimi yapılmış süpürme , silme vs yok temizlik berbat. Onun dışında misafirlerin her gün havlu,peçete gibi ihtiyaçları olmaktadır ve kendimiz gidip alıyorsunuz oda katlarında ne bi temizlik görevlisi var ne bir şey temizlik baya bi geliştirilmeli.
Kahvaltısına gelecek olursam kahvaltı sunumu kesinlikle göze hitap etmiyor basit tabaklarda masa üstüne konulmuş , çay kaşıkları lekeli pek de iç açıcı değildi kahvaltı geliştirilebilir sabahın köründe sarımsaklı meze konulması yerine menemen vs tercih edilebilir . Oda kahvaltı olan bir İŞLETME İÇİN kahvaltısı çok daha güçlü olmalı verilen ücreti karşılamıyor kesinlikle. Odaya girdiğimizde normalde otellerde girişte 2 su minibarda bulunur sonraki sular ücretlendirilir burada su dahi konulmamıştı biraz sallamasyon iş yapıyorlar.
Çalışanlar ilgili.
OLUMLU YÖNLERİ ;
Otel konumu sahile çok yakın yürüme mesafesinde akyarların denizi muhteşem.
HAYVANSEVER olmaları muhteşem bir şey ki otelde de evcil hayvanlarıyla konaklayan müşteriler var idi çok iyi.
Otelin içinde kedilerde var birbirinden tatlı ve çok sevecenler lütfen otel çalışanları BU SICAK HAVALARDA otel içerisindeki kedilere bir köşeye mama ve su bırakmayı unutmasınlar. İyi çalışmalar dilerim.","Odalar2,0Hizmet2,0Konum4,0
Otelde öne çıkanlarSessiz
OdalarTemizlik çok eksik.
GüvenlikGüvenlik derecesi yok gibi denilebilir otele direkt girebiliyorsunuz ve gözden kaçarsa isteyen herkes girebiliyor. Artı bir güvenliği yok maalesef .
Yiyecek ve içeceklerGeliştirilmeli kahvaltı .",Google üzerinde bir ay önce,3/5
ASPAT HOTEL BODRUM Beach Restaurant,"İlk olarak otelin olumlu yönlerinden bahsetmek isterim. Konumu gerçekten güzel; Karaincir Plajı'na yaklaşık 5 dakika yürüme mesafesinde. Ancak ""halk plajı"" denilen alan oldukça küçük. Sabah erken giderseniz tertemiz ve berrak denizin keyfini çıkarıp gününüze devam edebilirsiniz. Aksi halde çevredeki özel plaj işletmelerine kişi başı yaklaşık 1.500 TL ödemek zorunda kalabilirsiniz.
Otel personeli hakkında olumsuz bir şey söylemek istemem. Ellerinden geleni yapmaya çalışıyorlar. Ancak otelin işletmesiyle ilgili ciddi eksiklikler var. İşletmeci ya bu işi yeterince bilmiyor ya da odaların durumu, temizlik ve oldukça yetersiz olan kahvaltıyla yeterince ilgilenmiyor.
""Fiyat/performans"" deniyor ama geceliği 5.000 TL olan BB (oda-kahvaltı) konseptindeki bir otelde odada bir şişe su bile yoktu. Mini bar tamamen boştu. Akşam sıcak bir içecek hazırlamak istedik fakat odada kettle bulunmuyordu. Sebebini sorduğumuzda ""Şalter attırdığı için kaldırdık."" denildi. Rica edince bu seferlik sıcak su getirdiler ancak oda servisinin olmadığını ve personel yetersizliği nedeniyle bunun istisna olduğunu söylediler.
Daha sonra oda temizliği talep ettiğimizde ""İki günde bir yapılıyor."" cevabını aldık. Temizlik personelini hiç görmedik. Odaya döndüğümüzde ise sadece havlular değiştirilmişti; yerler süpürülmemiş, temizlik neredeyse hiç yapılmamıştı.
Kısacası, bu otelin en büyük sorunu personel değil, yönetim ve işletme anlayışı. Konumu güzel olsa da verilen hizmet, ödenen ücretin karşılığını maalesef vermiyor.",,Google üzerinde bir ay önce,2/5
ASPAT HOTEL BODRUM Beach Restaurant,"Bu Otelde 6 gece konaklama fırsatı bulduk. 1 çocuğumuz var kaldığımız oda 104 numaraydı ve manzarası çok güzeldi. Odanın içi eskiydi, özellikle de banyo ve tuvalet kısmı ama hijyen konusunda sıkınt yaşamadık. Kahvaltısı yeterliydi, çok ürün yok ama olanlar lezzetliydi. Yakınlarındaki sahillerin hepsi çok güzel. Yürüme mesafesinde Kara İncir sahiline ulaşabiliyorsun, toplu taşıma ile ya da yaklaşık yarım saat yürüyerek de Aspat, Akçabük gibi güzel sahillere de kısa sürede ulaşabiliyorsun. Araç olursa çok daha rahat olur ama araçsız da keyifli bir tatil geçirilebilir. Sonuç olarak burası fiyat performans oteli. Zaten eski olmasa bu fiyata kalamazdık, o yüzden kötü yorum yapılacak bir yer olduğunu düşünmüyorum. Çalışanların hepsi de güleryüzlü ve ilgiliydi. Bu da önemli bir noktaydı bizim için.","Odalar4,0Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,5/5
ASPAT HOTEL BODRUM Beach Restaurant,"Kaldığımız otelden o kadar memnun kaldık ki, kesinlikle tam bir fiyat/performans oteli. Odalar, temizlik, konum ve hizmet beklentimizin çok üzerindeydi.
Özellikle Deniz Bey’e ayrıca teşekkür etmek istiyoruz. Otele geldiğimiz gün çantam kaybolmuştu. Geç bir saat olmasına rağmen büyük bir özveriyle bizimle ilgilendi, elinden gelen her şeyi yaptı. Güler yüzü, yardımseverliği, düşünceli ve iyi niyetli yaklaşımı sayesinde kendimizi gerçekten güvende ve değerli hissettik. Böyle insanların hâlâ var olduğunu görmek çok güzel.
Gönül rahatlığıyla herkese tavsiye ediyoruz. Hem kaliteli hizmet almak hem de kendinizi evinizde hissetmek istiyorsanız mutlaka burayı tercih etmelisiniz. Biz tekrar geldiğimizde hiç düşünmeden aynı otelde konaklayacağız. Her şey için çok teşekkür ederiz.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce,5/5
ASPAT HOTEL BODRUM Beach Restaurant,"Muhteşem bir tatildi. Temiz odaları, güler yüzlü personeli ve huzurlu atmosferiyle beklentimizin çok üzerindeydi. Bodrum’da gönül rahatlığıyla tercih edilecek bir otel.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
ASPAT HOTEL BODRUM Beach Restaurant,Kötü yorumlara kesinlikle aldırıs etmeyin tek başıma konakladım çalışanlar çok kibar hiç rahatsız olduğum bir durum olmadı bütün plajlara yakın mesafe de tam bir fiyat performans oteli tekrardan kesinlikle geleceğim gayet memnun kaldım,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarBüyük fırsat …Devamı",Google üzerinde 2 ay önce,5/5
ASPAT HOTEL BODRUM Beach Restaurant,Çok ilgili personel. Odalar temiz ferah ve çok güzel. İşletme sahipleri aşırı duyarlı ve nazik.kendilerine tekrar tekrar teşekkür ederim.Kahvaltısı da çok güzel her şey düşünülmüş çayları da dahil çok lezzetli.Akyarlara gelirsem her zaman burası olacak şiddetle tavsiye ederim dostlar.,"Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun · Büyük fırsat",Google üzerinde bir ay önce,5/5
ASPAT HOTEL BODRUM Beach Restaurant,"Olumsuz yanları, kahvaltısı kötüydü. Odaların banyo ve tuvaletleri çok bakımsız, eski ve dapdardı.
Olumlu olarak, otoparkı var. Manzarası ve konumu çok iyi. Anlaşmalı beachi var. Ordan da memnun kaldık.","Odalar4,0Hizmet4,0Konum5,0",Google üzerinde 2 ay önce,4/5
ASPAT HOTEL BODRUM Beach Restaurant,"bodrumun en güzel sahiline 1 dk mesafede, konumu harika ve hep konakladığım bir yer çok yardımcılar her konuda. İlgilerinden dolayı teşekkür ediyoruzz, tatlı bir işletme","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,5/5
ASPAT HOTEL BODRUM Beach Restaurant,"207 nolu odada 7 gece konakladım
Deniz bey ve çalışanlar çok güleryüzlü ve naif insanlar . Oda temizliği ve kahvaltısı mükemmeldi.Manzara muazzam
Gidip konaklanacak güzel bir otel
Ayrıca katta çalışan Gül hanıma çok teşekkür ederim 😊","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun · Büyük fırsat",Google üzerinde 5 ay önce,5/5
