otel_adi,yorum,hizmet,tarih,puan
La Blanche Island Bodrum,"Hala otelde olan biri olarak anlık paylasıyorum…|Birçok otele gitmiş biri olarak söyleyebilirim ki; reklamlarıyla alakası yok|Otel temiz, odalar güzel, çalısanlar çok güler yüzlü ve ilgili.. …",,Tripadvisor üzerinde 4 hafta önce,2/5
La Blanche Island Bodrum,"La Blanche Resort’ta konaklama deneyimimiz genel olarak beklentilerimizi tam karşılamadı. Özellikle odaların artık ciddi anlamda yenilenmeye ihtiyacı olduğunu düşünüyorum. Mobilyalar ve genel dekorasyon oldukça eski bir izlenim veriyor. Banyoda ise duş alanı hem eski hem de kullanım açısından konforlu değildi. Bu seviyede bir otelden daha modern ve bakımlı odalar beklerdik.
Buna karşın otelin en büyük artısı kesinlikle Sunrise Snack Restoranı oldu. Burada görev yapan ekip son derece güler yüzlü, ilgili ve misafir odaklıydı. Siparişlerimiz çok kısa sürede hazırlandı ve her seferinde aynı kaliteli hizmeti aldık. Yemeklerin lezzeti gerçekten beklentimizin üzerindeydi; taze, özenli hazırlanmış ve oldukça başarılıydı. Gün içinde en keyif aldığımız nokta burası oldu.
Özetle, otelin oda ve banyo kısmında kapsamlı bir renovasyona ihtiyaç olduğunu düşünüyorum. Ancak Sunrise Snack ekibinin profesyonelliği, samimiyeti ve mutfağın kalitesi tatilimizi olumlu yönde etkileyen en önemli unsur oldu. Başta Sunrise Snack Özgür bey ve ekibi olmak üzere emeği geçen herkese teşekkür ederim. Umarım odalar da en kısa zamanda yenilenir; çünkü bu hizmet kalitesini çok daha iyi yansıtacak bir konaklama alanını hak ediyor.","Odalar2,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce,4/5
La Blanche Island Bodrum,"Merhaba
Otel konumu itibariyle havuz ve denizin keyfini alabileceğiniz tüm dinamikleri sizlere yaşatıyor sorun yaşamazsınız. Heryerinde muhteşem manzarası var. Yemek çeşitleri ve kahvaltı seçenekleri standart nitelikte. Bazı ürünler kötü değil ama lezzetli de değil. Pastahane ürünleri yeterli değil. Dondurma standları ve çeşitleri fazlalaştırılmalı. Alkollü ve alkolsüz içki seçenekleri çok az. Kutu ayran haricinde kutu içecek göremedik. Alkollü içkiler kısmı yetersiz. Cin “cork” veriyorlar çeşit istediğinizde diğer barlarda var diye söyleniyor ama loby bara gittiğinizde orada da “gilbeys” veriyorlar. Markaları fazlalaştırmalılar. Bunlar bana göre olumsuz olmasından ziyade geliştirilebilir kısımları , bu yüzden bir problem olarak görmeyin. Otelde çalışan tüm personeller o kadar güleryüzlü ve herkese destek olmaya çalışıyorki bunu yaşamanızı isterim. Herkes elinden gelenin en iyisini yapmaya çalışıyor bunu her alanında görebilirsiniz. O yüzden biraz önce yazdığım eksikleri , bu personeller yaklaşımları ile fazlası ile kapatıyor. Gezinomiden tatilimizi aldık ama memnun kalmadık. Kesinlikle Gezinomiden tatil almanızı önermiyorum. Diğer tatilimizi iptal ettik. Bu tatilimizi ise günü geldiği için gelmek zorunda kaldık. Gezinominin tarafımıza yaşattığı sıkıntıyı , kendisini ilgilendirmemesine rağmen dert bilip üstlenip tarafımıza destek olan Otelin Resepsiyon bölümünde Emircan beye çok çok teşekkür ederiz. Kendisi sayesinde keyifli tatil yapmaya devam ediyoruz. Müşteri ilişkileri kısmından Eda hanıma , bize olan yaklaşımı , otel gelişimine verdiği efor ve destek için ayrıca teşekkür ederim. Ne sorununuz olursa olsun Resepsiyondan Emircan bey ve müşteri ilişkilerinden Eda hanıma mutlaka ulaşın , sorununuzu çözmekle beraber mutlulukla devam edeceğinizden eminim , kendi fikrim ama yanılmayacağımı düşünüyorum. Okuyan herkese keyifli tatiller.","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara
OdalarKüçük plazma tvler mevcut. Geliştirilebilir.
Yiyecek ve içeceklerSınırlı ve az çeşit var.",Google üzerinde bir ay önce,4/5
La Blanche Island Bodrum,"Otele ilk giriş yaptığımız andan itibaren çok doğru bir tercih yaptığımızı ve güzel bir otel tuttuğumuzu hissettik. Karşılama, tesisin genel görünümü ve çalışanların yaklaşımı daha ilk dakikalardan itibaren bizde oldukça olumlu bir izlenim bıraktı.
La Blanche Island Bodrum’da geçirdiğimiz tatilden genel olarak çok memnun kaldık. Otelin konumu, manzarası ve özellikle plajları gerçekten harikaydı. Denizin temizliği ve berraklığı sayesinde keyifli bir tatil geçirdik. Plaj alanlarının bakımlı ve düzenli olması büyük bir artıydı. Ayrıca plaja erişimin yürüyen merdiven ve shuttle hizmetleriyle sağlanması oldukça konforlu ve pratiktı. Bu sayede plaja ulaşım konusunda hiçbir zorluk yaşamadık.
Personelin ilgisi ve güler yüzü tatilimizin en güzel yanlarından biriydi. Tüm çalışanlar son derece yardımsever, nazik ve profesyoneldi. Misafir memnuniyetine verdikleri önem her an hissediliyordu. Özellikle İshak Bey’e ayrıca teşekkür etmek isteriz. Tatilimiz boyunca bizimle yakından ilgilendi, her konuda yardımcı oldu ve kendimizi özel hissetmemizi sağladı. Güler yüzü, samimiyeti ve profesyonel yaklaşımı sayesinde tatil deneyimimiz çok daha keyifli geçti.
Özellikle alakart restoranlardaki deneyimimiz beklentilerimizin üzerindeydi. Yemeklerin lezzeti, sunumu ve kalitesi gerçekten çok başarılıydı. Restoran personelinin ilgisi ve misafirperverliği bizi adeta mest etti. Aynı şekilde otelde bulunan 3 snack restoranın da yemek kalitesi oldukça yüksekti. Gün içerisinde sundukları lezzetli ve kaliteli seçenekler sayesinde keyifli vakit geçirdik.
Sıcak ve soğuk içeceklerin kalitesi, lezzeti ve çeşitliliği de son derece başarılıydı. Günün her saatinde farklı damak zevklerine hitap eden birçok seçenek bulunuyordu. Bu konuda otelin beklentilerimizin üzerinde bir hizmet sunduğunu söyleyebiliriz.
Odalar temiz ve konforlu, ortak kullanım alanları ise bakımlı ve düzenliydi. Ancak Pina 24 restoranındaki yemeklerin kalite, lezzet ve çeşitlilik açısından otelin genel standardının gerisinde kaldığını düşünüyoruz. Özellikle diğer restoranlardaki yüksek kalite göz önüne alındığında bu bölümde yapılacak iyileştirmeler otelin genel misafir deneyimini daha da yukarı taşıyacaktır.
Genel olarak La Blanche Island Bodrum; muhteşem plajları, kaliteli restoranları, zengin içecek seçenekleri, kolay plaj erişimi ve güler yüzlü personeliyle unutulmaz bir tatil deneyimi sundu. Pina 24 restoranındaki yemek kalitesinin geliştirilmesi halinde hiç tereddüt etmeden tekrar tercih edeceğimiz bir otel olacaktır. Emeği geçen tüm çalışanlara ve özellikle İshak Bey’e teşekkür ederizf","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Çocuklar için uygun · Büyük fırsat",Google üzerinde 2 ay önce,5/5
La Blanche Island Bodrum,"Manzarası çok güzel fakat denize girmek istediğiniz zaman işler değişiyor. Deniz çok taşlık kum yok denecek kadar az, var olan kumlar da bakımsızlıktan taşlaşmış. Otelin konumu adanın üzerindeki en yüksek bölgede bulunuyor, plaja giderken ve dönerken sürekli yokuş çıkmanız gerekiyor ayrıca her yer birbirine uzak mesafede ve buna rağmen otelde shuutle bulmak oldukça zor, ana giriş kapısında birkaç tane shuutle bekliyor fakat kullanan kişiyi bulmak yürümekten uzun sürüyor. Ayrıca oda hizmetleri de çok yetersiz siz istemediğiniz sürece dil fırçası diş macunu gibi imkânlar sağlanmıyor, resepsiyondan havlu isteseniz bile saatlerce getirmedikleri oluyor ve siz uyarmadığınız taktirde çarşaf değişimi sürekli aksatılıyor. Deniz konusuna dönecek olursak plajın son kısımlarındaki denizden bazen lağım kokusu geliyor ve su aşırı bulanık asla dibini göremiyorsunuz, bu durumdan muzdarip olarak plajın daha ileri kısımlarına gittiğinizde ise sizi dalgalar selamlıyor, yüzerken su yutmamak neredeyse imkânsız bir durum. Bunun beraberinde otelde eğlence etkinlikleri ayarlayan bir animasyon ekibi bulunmadığını düşünüyorum etkinlikler hakkında bilgi edinmek çok zor. Fakat tüm bunlara rağmen garsonlar ve diğer görevliler oldukça güler yüzlüydü.","Odalar3,0Hizmet4,0Konum3,0
Otelde öne çıkanlarÇocuklar için uygun
OdalarFiyata göre düşük performans
GüvenlikGüvenlik konusunsa bir sıkıntı yaşamadım
Yürüme olanaklarıYürüyüş yapacak oldukça alan bulunuyor
Yiyecek ve içeceklerYemekler güzeldi fakat tatlılar lezettli değildi",Google üzerinde 3 hafta önce,3/5
La Blanche Island Bodrum,"Otelde yemekler gayet iyiydi. Kötü yorum olarak otelde plajda, asansörlerde ve bazı katlarda çok pis koku vardı. Birde plajda insanlar orda olmadıkları halde boş yere havluyla kendilerine yer tutuyordu. Odalarda iyiydi ama bizim odamızda duşa kabinden dışarıya çok su taşıyordu eğimi ters yapılmış ve sifon basılı kalıyordu.
Edit: hep kötü özelliklerden bahsetmiş olmıyım, adanın heryerindeki tuvaletlerin temizliği, personellerin ilgisi gerçekten çok iyi seviyede. Herkese uygun Plaj seçenekleri var. Ama bunların yanında şu otel marketlerinin kişilere göre fiyat belirleme politikası burdada var ne yazık ki hiç bir fiyat etiketi göremiyorsunuz.","Odalar4,0Hizmet4,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde bir ay önce,4/5
La Blanche Island Bodrum,"Merhaba,
Öncelikle otelin, Bodrum’da tatil yapmak isteyen kişiler için fiyat-performans açısından değerlendirilebilecek bir tesis olduğunu düşünüyorum. Konaklamamız süresince yaşadığımız olumlu ve olumsuz deneyimleri paylaşmak isterim.
Otele ilk girişimizde bizi Jolly Tur’dan Emirhan Bey karşıladı. Kendisi işini son derece titizlikle ve özveriyle yapan, gerçekten çok ilgili biriydi. Kendisine tekrar teşekkür etmek isterim. Açık söylemek gerekirse, Emirhan Bey olmasaydı ilk gün ücret iadesi talep ederek otelden ayrılmayı düşünüyorduk.
## Olumlu Deneyimler
1. Otelin denizi gerçekten harika.
2. Özellikle lobi tarafındaki barda hazırlanan kokteyller oldukça lezzetliydi. Whiskey Sour olması gerektiği gibiydi. İtalyan restoranında çalışan Muhtar isimli arkadaşın hazırladığı kokteylleri özellikle çok beğendik.
3. Akşam eğlenceleri yeterliydi. Sahne alan müzik grupları da oldukça başarılıydı.
4. Açık büfedeki yemek çeşitliliği yeterliydi. Yemeklerin lezzetleri de genel olarak kötü değildi.
5. Yeterli sayıda snack restoran bulunuyor. Gün içerisinde mutlaka damak tadınıza uygun bir seçenek bulabiliyorsunuz.
6. Servis personelinin ve otel çalışanlarının büyük bir bölümü güler yüzlü ve ilgiliydi.
## Olumsuz Deneyimler
1. Otele giriş yaptığımızda araçtan indik ve valizlerin odaya gönderilebilmesi için oda numaramızı görevli arkadaşlara bildirmemiz gerektiği söylendi. Yaklaşık yedi saat araç kullandıktan sonra bunu söylemeyi unutarak odamıza çıktık.
Resepsiyonu arayıp valizlerin gönderilmesini rica ettiğimizde, “Aşağıya gelip oda numaranızı sizin söylemeniz gerekiyor.” şeklinde bir yanıt aldık ve bu konuda hiçbir şekilde yardımcı olunmadı.
Oda numarasının, yalnızca 10-15 metre mesafedeki valiz görevlilerine resepsiyon tarafından iletilmesi mümkünken, ikinci kattan tekrar aşağıya inmemizin istenmesini mantıklı bulmadık. Neyse ki Emirhan Bey duruma müdahale etti ve valizlerimizin odamıza gönderilmesini sağladı.
2. Hızlıca bir şeyler yemek için snack restorana gittik. Servis edilen burger ekmekleri soğuktu. Köftenin hangi etten yapıldığı belli değildi ve kofteni nrengi açık renk ti. Lezzeti kötü olmamasına rağmen, yerken dişimize sert parçalar geldi. Kıymanın içeriği konusunda ciddi şekilde şüphe duyduk.
Dana kıymaya yalnızca tuz ve karabiber ekleyip ızgarada düzgün bir burger köftesi hazırlamak bu kadar zor olmamalı.
3. Döner sipariş ettik. Ancak gelen ürün dönerden çok, kesilmiş köfteyi andırıyordu. Sanırım tamamen kıymadan hazırlanmıştı. Çiğnerken bunda da ağzımıza sert parçalar geldi.
4. pina 24 restoranttan Tavuk suyu çorbası sipariş ettik. Son derece tatsız, malzemeleri tamamen dibe çökmüş ve çorbayla pek ilgisi olmayan bir ürün servis edildi.
5. Yemeklerden sonra kokteyl içmek için sahildeki sahnenin yanında bulunan bara gittik. Daha önce Voyage Otel’de hazırlattığımız ve oldukça beğendiğimiz bir kokteyli tarif ettik. Barmen, bu kokteylin yapılamayacağını söyledi.
Bunun üzerine gülerek karşılık vermesi nedeniyle topluluk içinde kendimizi küçümsenmiş ve rahatsız hissettik. Daha sonra latte kıvamında, kremamsı bir kokteyl istediğimizi anlattık. Ancak bize son derece kötü bir kokteyl hazırlandı. Barmenin süreç boyunca suratsız ve isteksiz davranması da ayrıca rahatsız ediciydi. Biz de “Eline sağlık.” diyerek içeceğimizi alıp oradan ayrıldık.
6. A la carte restoranların rezervasyonları sürekli doluydu. Gün içerisinde rezervasyon yaptırmak maalesef mümkün olmadı.
7. Açık büfede yemek servisi sona ererken görevlinin, tepside kalan pideleri çıplak eliyle iterek topladığını gördük. Hijyen açısından kesinlikle kabul edilebilir bir durum değildi.
Kısacası, bizim tatilimizi Emirhan Bey kurtardı. Nerede daha güzel yemek yiyebileceğimizi ve denize hangi noktadan girmemizin daha iyi olacağını bize tam isabetle söyledi. İlgisi ve yönlendirmeleri sayesinde tatilimiz çok daha keyifli hale geldi.","Odalar4,0Hizmet4,0Konum5,0",Google üzerinde 4 hafta önce,3/5
La Blanche Island Bodrum,"Otel konumu ve deniziyle one cikan ve yanindaki otelleri dusunursek tam bir fiyat performans yeri. Denizi cok guzel ama yuzme bilmeyenler dikkat etsin cunku hemen derinleşiyor.
Gelelim otelin durumuna. 5 yildizli hersey dahil bir otel odasi degilde 3 yildizli bir oda izlenimi veriyor. Yemekler çesit anlaminda gercekten cok zayif. Lezzetlerini begendim bizi de hic rahatsiz etmedi ama diger otellere kiyasla cok geride.
Lobinin oradaki teras cafedeki calisanlar cok yardimsever, otelin genelinde oyle ama oda temizligi bize mi denk geldi bilmiyorum gercekten kotuydu.
Havuzun yanindaki ve gunduzleri asagidaki restoranda masada QR okutarak siparis verebiliyorsunuz ve cok hizli geliyor. Starbucks ve waffle olan bir yer var heryere uzak onu hic anlamadim.
Farkli yerlerde dondurma bufeleri var, cocuklar icin guzel.
Otel cok kalabalik, cok farkli ulkelerden turist var ama bence buranin yonetimi deniz, konum guzel diye otel olanaklarini çok kısmış. Diger oteller gibi secenekler ve kalite beklemeyin.
Biz tatilimizde denizi cok onemsedigimiz icin memnun ayrildik ama siz tesisten de beklentileriniz varsa bir kez daha dusunun derim. Otel cunku asla bu odenenen ucretleri haketmiyor bence.","Odalar2,0Hizmet3,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara",Google üzerinde 3 hafta önce,3/5
La Blanche Island Bodrum,"Ayşe Gül Kayahan
Google üzerinde 3 hafta önce düzenlendi",,Google üzerinde 3 hafta önce düzenlendi,5/5
La Blanche Island Bodrum,"Otel konum olarak çok öne geçiyor. Odaları biraz küçük ve sofa yerine normal tek kişilik yatak konulmalı. Kendini daha da yenilerse muhteşem manzara ve plajlarıyla baya bir öne geçer.
Mutfağı güzel. Çeşitlilik çok, her yerde snack barlar. Ala carte hizmet. Tatlı çeşitliliği hayranlık verici. Lezzet ve sunum ve artı şahane hizmet eden güler yüzlü personeli.
Eğlence, aktiviteler güzel. Animasyon ekibinden Sercio (Sercan Bey), Nur Hanım müthiş enerjileri ile renk katıyorlar.
Mutfak personelinin ve tüm otel personelinin hepsi güler yüzlü, hepsi çözüm üretici ve arı gibi çalışkanlar. Bu gerçekten çok önemli bir kriter. Hepsine ayrı ayrı teşekkürler. Servis için her bir birimde personel vızır vızır çalışıyor.
Jolly Tur’dan Emirhan Bey, Resepsiyondan Emircan Bey, ilgi ve alakaları için çok çok teşekkürler. Her bir yerde güler yüzü ve içtenliği derinden hissettik.
Beach Bardan Can Bey ve Ali Bey, Özgür bey ve ismini hatırlayamadıklarım; her birine şükranla. Enerjileri müthiş.Barmen Ali Bey’in içten güzel dileklerle hizmet anlayışı ailecek bizi ayrıca mutlu etti ve Azerilere olan kardeşlik bağımızı bir kez daha gösterdi. Spa Wellnes’ten Arkadaş Bey de çok neşeli ve ilgili sağ olsun. Spor salınundan Remziye Hanıma da teşekkürler.
Golf araçlarıyla otel turu çok keyifliydi. Bagaj personeli, bel boy arkadaşlar hepsi ilgili ve güler yüzlüydü.
İsmini hatırlayamadığım çokça kahraman personeli var. Biz bir Türk aile olarak çok güzel duygularla ayrılıyoruz. Sırf bu güzel kadro çalışanları için bile tekrar tercih sebebi. Manzarası, kuş cıvıltıları, cırcır böceği sesleri, çam ağaçları, denizi ile tam bir Bodrum Masalı gibi. Her personeline tekrar teşekkür ve saygılarımızla .","Odalar4,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Çocuklar için uygun
OdalarOdalar biraz küçük ama manzaraları güzel. Artı yatak olarak küçük boy, sofa adı verilen bir yatak var.
GüvenlikGüvenlik konusunda iç rahatlığıyla tatil yaptık
Yürüme olanaklarıSahile inen 3 kat yürüyen merdiveni var. Adanın Her yerine yürüme yolları ve golf araçlarıyla gezme imkanı var.
Yiyecek ve içeceklerÇeşitlilil çok. Vegan, diyet, çocuk, zeytinyağlı, tatlı, meyve, kokteyller, sıcak & soğuk içecekler mevcut
Önemli ayrıntılarSahil şeridi çok uzun. Havuzu büyük, 2 ayrı havuzu ve artı aqua parkı var.",Google üzerinde 3 hafta önce düzenlendi,5/5
