otel_adi,yorum,hizmet,tarih,puan
Ladonia Hotels Zemda,"15 Temmuz-22 Temmuz tarihleri arasında rezervasyon yaptırdık otele. 15 Temmuz’da otele giriş yaptığımızda odanın giriş saatinde girmemize rağmen oda çok kirliydi. Odada kadın iç çamaşırı vardı ve klozet bir önceki misafirden kalmaydı ve bir insanın pislikleri duruyordu ayrıca odada çok fazla örümcek vardı. (Ki doğaya saygımız sonsuz ama odayı temizlediğimiz müddetçe böceklerden arındırmış oluruz.) Biz iki kadın olarak o günün akşamüstünde odanın bu durumda olduğunu asla kalamayacağımızı bir çözüm yolu bulmaları gerektiğini söyledik(otel müdürüne) ve otelden biraz da olsa çıkıp hava almak istedik bize telefon ile ulaşmalarını, çözümlerini bizimle paylaşmalarını dile getirdik. Bir arayan olmadı. Otele dönünce herkes uyumuştu biz ya dışarda domuzlarla bir arada ya da odada örümceklerle uyuyacaktık. Odayı tercih ettik fakat sabaha kadar pislikten ve kokudan uyuyamadık. Ertesi gün otel müdürünün konu ile çok ilgilenmediği belliydi. Başka bir aile misafir olarak geldi ve sorun yaşadılar onlar jandarma çağırdılar biz de onların vesilesi ile şikayet etmiş olduk. Bize Başka otellerinde yer olmadığını belirttiler(iki kadın olarak dışarda kalma ihtimalimiz onlara normal geldi sanırım). İadenizi yapacağız dediler fakat hala (bugün 23 Temmuz) ödememizi yapmadılar. Aynı zamanda bir gece kaldığımız icin(ki bu nasıl kalmaksa, asla uyuyamadık) bunun kesintisini yaptılar. Her yere şikayet ettik. Cimer dahil.
Bunun dışında en başından beri bize otelin müşteri temsilcileri olarak yardımcı olmaya çalışan Gizem Hanım ve Pelin Hanım’a teşekkürlerimi iletiyorum. Bu kadar sorun içerisinde iki kadın olarak empatik davranıp bize destek olmaya çalıştılar.
Gümüşlük karakolundan Komutan Bilgehan Bey’e de buradan teşekkür etmek istiyorum. Bizimle çok ilgilendi.
Bize destek olan otel personeli Serkan bey’e de teşekkür ediyoruz o olmasa tatilimizi iptal edecektik muhtemelen.
Sonuç olarak biz cok pişman olduk. Kimsenin de bu pişmanlığı yaşamasını istemeyiz. 🙏",,Google üzerinde bir ay önce,1/5
Ladonia Hotels Zemda,"3 yıldızlı otel avcısıyım. Her sene fiyat performans otelini bulurum. Bu sefer duvara tosladım. Bu oteli tercih etmemdeki sebep fotoğraflarından çok güzel görünmesi, uygun fiyatlı olması ve yorumlarının genellikle iyi olmasıydı. Ayrıca sahili ve havuzu vardı. İlk odaya girdik ve bakımsız olduğunu fark ettik. Daha sonra sahile gittik ve çok taşlık olduğunu fark ettik. Deniz ayakkabısı ile girilebilir ama çok sığ ve taşlar vıcık vıcık yosunluydu. Sahili kullanmamayı tercih ettik. Biraz havuzu kullandık ve tatilimizin hergünü farklı bir sahile gitmeye karar verdik. Sabah kahvaltıları çok zayıftı. Ekmekler hep bayattı. Personelden çok domuz gördük. Sonuç olarak fiyatı uygun olduğu için beklentimi düşük tutmuştum. Buna rağmen hayal kırıklığı yaşadım. Aslında biraz personel sayısı arttırılsa, kahvaltı düzeltilse biraz da sezon kapandığında bakım yapılsa fena olmaz. İş yeri sahibinin ""e o zaman bu fiyatlara bulamazsınız"" dediğini duyar gibiyim ama olması gereken bence bu. Tek olumlu yanı çok sakin bir yerdi. Sakinliği severim.","Odalar1,0Hizmet1,0Konum1,0
Otelde öne çıkanlarSessiz
OdalarOdalar bakımsız ve kirli.
Yakındaki etkinlikleraktivite yok
GüvenlikYürüyerek gidilmesi imkansız. Yolda domuzlar var. Çok ıssız. Hatta bir konaklayan sabah kapıyı açtığında domuz ile karşılaştığını söyledi. ama saldırmazlarmış, öyle demişler.
Yürüme olanaklarıherhangi bir lokasyona yürüyerek gidilemez.
Yiyecek ve içeceklerkahvaltı çok zayıf. ekmekler hep bayat.",Google üzerinde 3 hafta önce,1/5
Ladonia Hotels Zemda,9-11 Temmuz 2026 tarihleri arası için Jolly Tur üzerinden Ladonia Hotels Zemda Boutique adlı otelden rezervasyon yaptık. 9 Temmuz saat 12:00 sularında Jolly Tur yetkilisi tarafıma mesaj attı. …,,Tripadvisor üzerinde bir ay önce,1/5
Ladonia Hotels Zemda,"R E Z A L E T !!!
Bu kadar rezalet bir işletme olamaz 3 aile gittik 3 gece olarak. Ne bir tane ilgili personel var ne temizlik var hijyen sıfır duş alsanız inanın daha da çok kirlenip mikrop kapma şansınız var. Kendi evimizden getirdiğimiz havluları yatağın üstüne serip uyuyabildik.
Paramızı yakıp başka bir otelde kalmak istedik ama çevre otellerde müsait lik bulamadık 3 aile olduğumuz için. İnsanlar imkansızlıklar içinde 2/3 gün tatil yapmak istiyor ve şu karşılaşılan manzaraya bakın. Bir çok insanın resepsiyon da şikayetlerine ve iptal etme çabalarına şahit olduk havuz kenarları kırık dökük otel plajının hemen yanından bir dere akıyor ve kokudan denize girmek imkansız. Paranızı asla boşa harcamayın. Yılda 3 4 kez tatil yapan birisi olarak hiç böyle bir işletme ile karşı karşıya gelmemiştik.","Odalar1,0Hizmet1,0Konum1,0
Otelde öne çıkanlarSessiz
OdalarLeş gibi sıfır hijyen
Yakındaki etkinliklerHiçbir etkinlik yok
GüvenlikOtel otoparkında domuzlar geziyor
Yürüme olanaklarıÇok kötü
Yiyecek ve içeceklerOda kahfaltı konsep ama kahvaltı da hiçbir yiyece yok doğru düzgün",Google üzerinde bir ay önce,1/5
Ladonia Hotels Zemda,"Otelin denize sıfır olması dışında herhangi bir avantajı olduğunu düşünmüyorum kaldığımız oda da WC ve duş oldukça pisti sıcak su yoktu odanın kapısı bile zorla kapanıyordu, havlular pis kokuyordu. Kahvaltı çok kötüydü. Konaklayan herkes aynı sıkıntıları yaşadığını dile getirdi. Çalışanlar güler güzlü ama bu şikayetler yüzünden onlarda yorgun gibi görünüyordu. Havuzu büyüktü. Ben denize girer çıkarım uyumayada yer olsa yeter diyorsanız tutun. Başka hiç bir hizmet bekmeyin.","Odalar1,0",Google üzerinde bir ay önce,1/5
Ladonia Hotels Zemda,"Berbat bir otel. Berbat bir hizmet. Odalar pis, kahvaltı yetersiz. Yumurta bile veremiyorlar. Bitti kusura bakmayın deyip sallayabiliyorlar. Ekmek bitiyor çay bitiyor vs vs suite oda tuttuk. Oğlumu tahta kuruları yedi. Odayı ilaçlayın yada değiştirin dedik temizlendi yapıldı dediler yine bir değişiklik yok. Çalışanlar normal olduğunu sanıyor ama 3 yıldızlı işletme böyle olamaz. Şu haliyle 1 yıldızı ancak hakeder. O da denize sıfır olması havuzu vesilesiyle. Çalışanların hemen hepsi yabancı ve çalışma izni oldukalarını düşünmüyorum. Türkçe bile bilmiyorlar. Fiyatının düşük tutulmasından anlayabilseydik keşke ama websitesinde herşey çok güzel görünüyor. Wifi bile yok otelde. Heryer böcek, bahçivan uğramadığı okadar belli ki. Sazlıklar basmış dört bir yanı. Aklıma gelmeyen, yazamadığım daha bir ton şey var. Daha fazla para verin ama burada konaklamayın.","Odalar1,0Hizmet1,0Konum4,0
OdalarBerbat
GüvenlikGüvenlik yok görmedik. Danışmaya kadar rahatlıkla gelip içeriye girebilirler. Şansa kalmış
Yürüme olanaklarıDüz ayak
Yiyecek ve içeceklerYetersiz, çoğu zaman erkenden tükeniyor. Yok değip geçiyorlar
Önemli ayrıntılarBöceklere dikkat. Tahta kurusu özellikle.",Google üzerinde bir ay önce,1/5
Ladonia Hotels Zemda,"28 - 30 temmuz tarihlerinde kaldığım süreçte ailemle birlikte geldim neredeyse 20 kişiye yakın bir aile grubunda kalmamıza rağmen öncelikle yatakların pikesinden çarşafına kadar lekeli olması, tuvaletlerin pis olması, kahvaltı servisinin kötü olması, bir çay söylendiğinde 2 saat sonra gelmesi. Konaklama ücreti haziranın başında ödenmesine rağmen 30 kişilik bir aile yemeği verileceği gün yemek alışverişin parasının bizden istenmesi kadar kötü bir durum yok. Otel, Turizm bakanlığına bağlı ama inşallah bakanlıktan biri gelirde komple denetlenir. Orayada şikayet edeceğim. Tam anlamıyla REZALET bir otel.","Odalar1,0Hizmet1,0Konum1,0",Google üzerinde 3 hafta önce,1/5
Ladonia Hotels Zemda,"Hayatımda bu kadar pis bir otelde kalmadım. Çarşaflar ve havlular kokuyordu, tuvalet perişan halde, duş alınca her yer su oluyor, kahvaltılıkların üzerinde sinekler uçuşuyor. Hijyen sıfır, ne odada ne de kahvaltıda hiçbir şeye dokunmak istemedim.",,Google üzerinde bir ay önce,1/5
Ladonia Hotels Zemda,"Fiyatına göre gayet güzel ve keyifli bir otel, personelleri olsun diğer müşteriler olsun uyum içinde sanki aileymiş gibi kalıyorlar tatilleri boyunca, bu bizi çok etkiledi 3 günlük tatilimizi havuz ve denize girerek geçirdik ardından otelin huzurlu ve sakin ortamında gün batımını izledik. Kesinlikle tavsiye ederim tamamen fiyat performans bir tesis huzur arayanlar için birebir","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 3 hafta önce,5/5
Ladonia Hotels Zemda,Yani hango kötülüğünü anlatsam bilemiyorum.Ege tatili yaptık ve 6gece konakladık farklı yerlerde.Bu otel en kötüsü olmayı başardı.Tek özelliği bodrum evleri gibi olması.Başka hiçbir özelliği yok.Diğer otellere de buna da uygulamadan rezervasyon yaptırdık.Sadece bu otel telefonu açmadı.Yolu bulamadık googleda farklı bir yerden götürüyor.Perişan olduk.Gümüşlükte oteller restaurantlar denize sıfır.Kendine ait bir plajı var taşlı.Ama çoo dalgalıydı giremedik zaten.Ve çok esiyor.Yol hem yok hem de olan yol taşlı valizlerle mahfolduk.Otelde ilgi göremedik.Sadece valizimiz taşındı üst kata.Oda temizliği kötüydü yani temiz gibiydi ama hiç içimizd sinmedi.Odada telefon yok yani resmen bizi rahatsız etmeyin diyorlar.Su yoktu söyledik açtılar.Şampuan saç kremi kullanılmış yarım ürünler vardı.Ay hiç mi özenilmez.Serpme kahvaltı vardı ama ürünler bitti yerine yenisi için bekledik.Masalar kahvaltı alanına uzaktı.Ve domuzların olduğu bir yer.Gerçekten bir yeri kötülerken üzülüyorum ama maalesef ki doğrusu bu.Havuzu var ama girmedik biz.İki kahve içtik ücretliydi.Gümüşlük plaj kısmının en sonunda kayalıkların orada otel.Otel yakınındaki manzaralardan da ekledim fotoğraf ve video.Beyaz olan yer otel.,"Otelde öne çıkanlarSessiz
OdalarBeyaz evlerden oluşan iki katlı bir otel.Odamızın balkonu vardı ama çok küçük.Oda geniş tv var
Yakındaki etkinliklerGümüşlük plajında bir sürü restaurant var.
GüvenlikKöpek ve domuz var
Yürüme olanaklarıPlajdaki restauranlara 5 15 dakika mesafede
Yiyecek ve içeceklerSerpme kahvaltı var ama hiç beğenmedik.
Önemli ayrıntılarOtele ulaşım sıkıntılı.Plajı var ama taşlı.",Google üzerinde bir ay önce,1/5
