otel_adi,yorum,hizmet,tarih,puan
Swissôtel Living Bodrum,"Genel olarak otelden memnun ayrıldık. Çok iyi karşılandık, nazik bir jest olarak odamızı upgrade ettiler. Odalar temiz, bakımlı ve konforluydu.
Denizi gerçekten çok güzel ve berraktı. Plaj iri taşlı ve kumlu bir yapıya sahip. Plaja buggy ile iniliyor ancak sürekli buggy hizmeti olduğu için ulaşım konusunda hiçbir sıkıntı yaşamadık.
Olumsuz olarak söyleyebileceğim en önemli konu, otelin anlaşmalı olduğu beach’te verilen kahvaltıydı. Kahvaltı çeşitliliği oldukça yetersizdi. Pancake, krep, Nutella, fıstık ezmesi gibi birçok kahvaltılık seçenek yoktu. Yumurtalar her gün soğuktu. Ayrıca ürünler çok lezzetsizdi. Diğer Swissoteller’de yaşadığım kahvaltı deneyimimin onda birini yaşayamadım. Girişte karşılayan kişi oda numarası veya merhaba diyecek kadar bile Türkçe bilmiyordu, herkes İngilizce bilmek zorunda değil. Aynı şeyi avrupadaki hiç bir ülkede yaşamayacağınızı da garanti ederim. Kendi ülkemde türkçe konuşmayı bilmeyen görevli bence kabul edilemez bir şey, çalışanlar yaşadığı ülkenin dilini temel ihtiyaçları karşılayacak kadar bilmeli veya öğrenmelidir.
Bir diğer sorun ise plajdaki havlu uygulamasıydı. Havlular zimmetli gibi dağıtılıyor ve kişi başı ikinci havluyu alamıyorsunuz. Ayrıca girişte bize havlu kartlarımızı vermeyi unuttukları için, plaj görevlileri havlu vermeyi reddetti. Sırf havlu kartını almak için buggy ile tekrar otele çıkıp geri dönmemiz beklendi. Bunun misafire yaşatılmaması gereken gereksiz bir prosedür olduğunu düşünüyorum.
Su tesisatında da bir sorun yaşadık maalesef. Bir gün kaynar suyla duş aldık, ertesi gün ise su ısınmadı. En son gün düzelttiler.
Bunun dışında otel personeli ilgili ve güler yüzlüydü. Genel hizmet kalitesi iyiydi ve keyifli bir konaklama geçirdik.","Odalar5,0Hizmet4,0Konum5,0",Google üzerinde bir ay önce,4/5
Swissôtel Living Bodrum,"Hayatımızın en güzel tatillerinden biri!||Bugüne kadar Amerika'dan Tayland'a, Avrupa'nın birçok ülkesine kadar dünyanın pek çok yerini gezdik. …",,Tripadvisor üzerinde bir ay önce,5/5
Swissôtel Living Bodrum,"Swissôtel Living Bodrum beklentilerimizin çok üzerinde bir deneyim sundu. Modern ve zarif tasarıma sahip süitler, kusursuz temizlik anlayışı ve profesyonel hizmet kalitesiyle kendimizi özel hissettik. Gündoğan'ın sakin koyunda yer alan otel, lüks ile huzuru mükemmel şekilde bir araya getiriyor. Tüm ekip misafir memnuniyetine gerçekten önem veriyor. Kahvaltıdan SPA deneyimine kadar her detay özenle düşünülmüş. Bodrum'da kaliteli ve ayrıcalıklı bir konaklama arayanlar için kesinlikle tavsiye ederim. Yeniden gelmek için şimdiden sabırsızlanıyoruz.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks",Google üzerinde bir ay önce,5/5
Swissôtel Living Bodrum,"Swissliving room hotel e geldik. Müthiş bir manzara ve guleryuzlu personel ile karşılaştım. Genelde resortlarda kalmayı sevmem. Butik otel tercihim olmustur. Swissliving ile fikrim değişti. Her soruma sabırla ve güler yüzle cevap aldım. Oda manzaraları olsun, yemekler olsun, ikramları beğendim. Hemen girişte Muhteşem bir manzara karşılıyor sizi zaten..Tekrar gelmeyi planlıyorum.","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde bir ay önce,5/5
Swissôtel Living Bodrum,"Otel için en önemli ve en güzel taraf otel çalışanlarının harika olması, müthiş iyi niyetli ve yapıcılar. Gencecik olmalarına rağmen tecrübeli otelcilere taş çıkarırlar. Karşılama 10 üzerinden 10, karşılamadaki kızlar harikaydınız! …",,Tripadvisor üzerinde 2 ay önce,4/5
Swissôtel Living Bodrum,"Swissotel Living Bodrum'da geçirdiğimiz 3 gece 4 gün konaklamadan çok memnun kaldık. Otelin en etkileyici yanı, misafirlerine yaklaşımı ve hizmet kalitesi oldu. Tüm ekip son derece güler yüzlü, ilgili ve çözüm odaklıydı. Misafiri memnun etme çabalarını her an hissediyorsunuz.
Kendinizi samimi ve özel hissettiren bir atmosfer sunuluyor. Bu sıcak yaklaşımı profesyonel hizmet anlayışıyla birleştirmeleri gerçekten takdire değer.
Otel oldukça temiz ve bakımlı. Özellikle resepsiyon ekibi son derece ilgiliydi; her konuda hızlı ve çözüm odaklı destek aldık.
Buggy hizmeti de çok başarılıydı. Araçlar sık çalıştığı için neredeyse hiç bekleme yaşamadık, bu da konforu artıran önemli detaylardan biriydi.
Deniz oldukça güzel, sahil temiz ve bakımlıydı. Dinlenmek ve keyifli vakit geçirmek için harika bir ortam sunuyor.
Otel içerisindeki Moi restoranı da ayrı bir övgüyü hak ediyor. Yemeklerin kalitesi, sunumları ve servis anlayışı çok başarılıydı. Özellikle imza lezzetleri oldukça etkileyiciydi.
Tüm ekibe misafirperverlikleri için teşekkür ederiz. Bodrum'da kaliteli, huzurlu ve keyifli bir tatil arayanlara gönül rahatlığıyla tavsiye ederiz.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz · Çocuklar için uygun",Google üzerinde 2 ay önce,5/5
Swissôtel Living Bodrum,"Harika bir tatil oldu.Reception da Pelin hanım,Alperen bey güleryüzlü çalışma performansları, ilgileri ilk adımda mutluluk la bizi karşıladılarKahve sunumu yapan Emine hanım ve Ökkes beyin geçen yılki konaklamamızdan bizi hatırlıyor olması …",,Tripadvisor üzerinde bir ay önce,5/5
Swissôtel Living Bodrum,"Suit odada 5 gece 6 gün yaptığımız konaklamada bize yaşatılan konfor övgüyü gerçekten hakediyor. Çalışan tüm personelin güleryüzü, nezaketi kendinizi özel hissettiyor. Tatilimizin her anı çok keyifliydi denizi ve akşam esintileri harika . Teşekkürler Mert bey ve ekibi","Odalar5,0Hizmet5,0Konum5,0",Google üzerinde 2 ay önce,5/5
Swissôtel Living Bodrum,Swissôtel Living Bodrum'da geçirdiğimiz tatilden çok memnun kaldık. Özellikle girişte bizi güler yüzü ve profesyonelliğiyle karşılayan Pelin Hanım ve Nupella Hanım'a teşekkür ederiz. …,,Tripadvisor üzerinde 2 ay önce,5/5
Swissôtel Living Bodrum,"Otelin en güzel yanı kesinlikle çalışanları, Harikalar, müthiş güler yüzlü ve çözüm odaklılar. İnsanın gözünün içine bakıyorlar. Her koşulda mutlaka destek olup yardım ediyorlar.
Girişte güzeller güzeli Pelin ve Nupella, restaurant kısmında Osman, yine servis kısmında özellikle Ahmet, müthiş saygılı ve yapıcıydılar. Yine Yiğit ve Ökkeş hepsi birbirinden kıymetli gencecik insanlar, bu kadar genç olup bu kadar iyi olmaları şaşırtıcı,tecrübeli insanları ceplerinden çıkarırlar.Otel için söylemekte fayda var, araç gerekiyor, yakın yerlerde gidilebilecek bir yer yok , taksi ile veya araç transferi ile çözülebilirsiniz ancak araç daha mantıklı. Çalışan ekibe tekrar çok teşekkür ederiz.","Odalar4,0Hizmet5,0Konum4,0
Otelde öne çıkanlarMuhteşem manzara · Sessiz",Google üzerinde 2 ay önce,4/5
Swissôtel Living Bodrum,"3 günlük konaklamamız boyunca her şey harikaydı. Otelin temizliği, çalışanların ilgisi ve güler yüzü gerçekten çok memnun etti. Kendimizi çok rahat ve özel hissettik. Konumu, hizmeti ve ortamı sayesinde çok keyifli bir tatil geçirdik. Tekrar gelmeyi kesinlikle düşünüyoruz. Her şey için teşekkür ederiz 🌟","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarLüks · Muhteşem manzara · Romantik · Sessiz",Google üzerinde 3 ay önce,5/5
Swissôtel Living Bodrum,"Şahane bir deneyim. Otelin konumu, sahili , manzarası, odaları ve hizmeti müthiş. Çalışanlar çok ilgili, güler yüzlü ve her an yardımcı oluyorlar. Otel içi ulaşım Bagi’ lerle yapılıyor o anlamda da konforlu. Restoran gayet keyifli yine çok ilgililer ve yemeklerde lezzetli. Kesinlikle tekrar tekrar geleceğim bir otel.","Odalar5,0Hizmet5,0Konum5,0
Otelde öne çıkanlarMuhteşem manzara · Romantik · Sessiz · Büyük fırsat …Devamı",Google üzerinde 2 ay önce düzenlendi,5/5
