otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Lavinya Otel,The staff was friendly and attentive and the cheeseburger was excellent! The resident cats were very lovable. The oceanfront room had an incredible view and we loved hearing the waves all night.,10.0,"Posted July 23, 2026",Show More,,,Verified by,,
Lavinya Otel,"Location was very good, close to everything by car! The atmosphere was very chill. The rooms were perfect but just a bit small, price value was great! Extremely clean, beautiful beach front, and now my favorite part= THE SERVICE. Made our experience just perfect. Special thanks to the manager, to Hassan who made every breakfast special, to Cemil as well and to the cheff. Amazing food!!!",10.0,"Posted July 23, 2026",,Stayed in July 2026,,,,
Lavinya Otel,The staff was friendly and attentive and the cheeseburger was excellent! The resident cats were very lovable. The oceanfront room had an incredible view and we loved hearing the waves all night.,10.0,"Posted October 6, 2025",,Stayed in October 2025,,,,
Lavinya Otel,"The hotel is there for the beach location but the beach is very small. The room had a partial ocean view but was somewhat cramped and basic. We paid about $340 per night. Don't expect luxury, a fluffy comforter, or even a clothes iron. It was generally quiet. Breakfast was not a buffet but we were able to choose how we wanted our eggs cooked. There was no lobby, just a counter in the office. WiFi was OK.",6.0,"Posted September 25, 2024",,Stayed in September 2024,,,,
Lavinya Otel,"An elite hotel that allows you to have a peaceful, comfortable and happy holiday with its simple elegance. Among the dozens of hotels lined up along the entire bay, it is the only facility that provides its guests with a comfortable area without crowding the beach due to snow concerns. A calm and peaceful environment has been created with its perfect sea, clean and stylish comfortable rooms. Dear Murat Bey's care and attention is evident in every area of the facility.",10.0,"Posted July 27, 2024",,Stayed in July 2024,,,,
Lavinya Otel,"It's a pretty bad establishment. The rooms smell of sewage, and the staff are incredibly unfriendly. One employee, Hasan, in particular, thinks Ali is a beheading slaughterer. They show no respect and are eager to fight. I don't recommend it at all.",2.0,"Posted July 26, 2024",,Stayed in July 2024,,,Traveling with friends,
Lavinya Otel,"The hotel rooms have sea views and are very close to the sea. The color tones preferred in the rooms create a simple and peaceful atmosphere. The rooms are very clean and spacious. The balconies of the rooms overlook the sea and the sea view accompanies you on the pier during dinner. The food is also delicious. In short, everything was great.",10.0,"Posted January 12, 2024",,Stayed in January 2024,,,Family,
Lavinya Otel,Sahildeki yaşlı sef garson olmasa bir cennet. Ama sadece kendi istediklerine iyi davranıp diğer müşterilere düşman gibi davranıyor. Yıllardır idare ediyorduk ama bitti. Tertemiz otel güzel yemekler her şey güzel. diğer bütün personel çok efendi. Deniz şahane !,8.0,"Posted July 14, 2026",,Stayed in July 2026,,,,
Lavinya Otel,"Eylül sonu ilk defa geldiğimiz Lavinya otel; çalışanları, konumu, denizi ile yaşadığımız güzellikler anlatılamaz , yaşanması lazım",10.0,"Posted October 1, 2025",,Stayed in October 2025,,,Family,
Lavinya Otel,Mutfağın tadilatta olması ve kahvaltı verememeleri kötü oldu,8.0,"Posted May 10, 2026",,Stayed in May 2026,,,Traveling with friends,
Lavinya Otel,6 yıldır geliyorum. Her sene daha iyiye gidiyor otel. Son derece keyifli huzurlu bir hafta geçirdik. Yemekler şahane ; personel güleryüzlü. Odalar temiz ve ferah. Sessiz olması en güzeli. Deniz zaten o bölgede çok güzeldir. Memnun kaldık. Ama siz gelmeyin buraları bozmayın :),10.0,"Posted July 18, 2025",,Stayed in July 2025,,,Family,
