otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Ambrosia Hotel Beach & Spa,"I might come off as a bit of a “Karen” here, but this is actually the first time we’ve ever complained about a hotel. We’ve travelled a lot, and honestly, we’ve never experienced such a lack of service. From the start, we felt like we had to constantly chase staff for even the smallest things. We booked a room advertised as 24 m² with a bed between 150–180 cm. What we got was maybe half the size, with a bed barely 130 cm wide, no sofa as pictured, and the hardest mattress I’ve ever slept on — no topper, nothing. The fridge wasn’t cold, the shower was broken and flooded the bathroom (ruining towels, toilet paper, and some clothes), and replacements for basics like toilet paper took several hours and multiple follow-ups. The receptionist initially insisted it was the correct room, then finally admitted we’d been misplaced due to overbookings — yet despite being put in an inferior room, there was zero offer of compensation or a genuine apology. The reception team could barely communicate in English and seemed constantly understaffed. It wasn’t just us — throughout our one-week stay we saw guests arguing with reception daily. Requests went unanswered: we asked five times over two days for an extra duvet, promised each time it would arrive, and it never did. The indoor pool had no water, the gym was in a basement with no AC, no windows, outdated and poorly maintained equipment (looked like it came from the Soviet era), and no water available. Wifi didn’t work, room service was nonexistent unless you spoke Turkish (calls just got hung up on), and restaurant orders were often forgotten — waiting an hour for food only to find they never took the order was common. Housekeeping kept the room generally clean but didn’t change sheets during the entire week — the same stains were there from day one. Cutlery in the restaurant wasn’t clean, there was no ironing board or iron available (they offer to iron for a fee during limited hours), and even the simplest requests like towels required 3+ follow-ups over hours. On the plus side, the breakfast was genuinely nice, and I don’t think the staff are inherently rude — they’re just clearly overworked and unsupported. But the lack of organisation, communication, and service made the stay stressful rather than relaxing. We expected far more from a supposed five-star hotel. Not recommended for English-speaking guests or anyone expecting even basic service standards",3.5,"Posted August 13, 2025",,Stayed in August 2025,1 Review,Gold,Couple,
Ambrosia Hotel Beach & Spa,"Honestly, nothing to say, the hotel is simply perfect. My wife and I had an excellent stay. I highly recommend it. The service is top-notch and the rooms are very clean. Don't listen to the reviews that say it's a bad hotel; the hotel is very, very nice.",10.0,"Posted June 23, 2026",France,Stayed in June 2026,5 Reviews,,Couple,Standard One-Bedroom Room
Ambrosia Hotel Beach & Spa,Distinguished,8.0,"Posted July 21, 2025",United Arab Emirates,Stayed in July 2025,8 Reviews,Diamond,Family,
Ambrosia Hotel Beach & Spa,Perfect in every way,10.0,"Posted June 8, 2024",Türkiye (Turkey),Stayed in June 2024,1 Review,Gold,Couple,
Ambrosia Hotel Beach & Spa,"Beautiful hotel, newly renovated. The beach decking area is stunning, very relaxing and comfortable. The staff are fantastic, especially Yücel, who went above and beyond each day to make our holiday special. The pool area is immaculate, gorgeous double cushioned beds with large umbrellas make this area truly relaxing. The rooms are clean and have all the amenities needed. We thoroughly enjoyed our holiday in this beautiful setting on the beach. A must stay in Bitez. We will be back!",10.0,"Posted May 24, 2026",,Stayed in May 2026,,,Family,
Ambrosia Hotel Beach & Spa,"From the moment we arrived we were made to feel welcome. Our room was cleaned well daily. The breakfast Is well displayed with efficient staff. You can request omelettes etc to be cooked fresh. My husband ordered easy over eggs a few times The variety of food is plenty full, the staff always smiling, nothing was too much for them and we did observe some demanding guests The pool area is kept spotless and beds comfortable The spa is of a high standard. I had a Bali massage and a facial which were both of a high standard The beach area and beach bar is also clean and comfortable. Eugene and all the staff make sure you are looked after with a smile. The girls on the reception desk are very friendly and helpful I requested a yoga mat and one was found straight away Yasin and staff give a high standard of customer which is nice to see. Areas for improvement - A five star hotel does not have showers that leak all over the bath room floor - The gym is below ground and very dimly light This is not an ideal environment for exercise - The beach restaurant is very expensive - this needs looking at if you want to encourage people staying at the hotel to eat and drink here I understand this hotel will move into the Hilton group next year, I hope they keep the level of customer service at the high standard it is now. Well done to Yasin Demir he’s excellent in his role, he is efficient, observant of things happening round him with a very pleasant manner Hopefully see you next year",10.0,"Posted July 3, 2026",,Stayed in July 2026,,,Family,
Ambrosia Hotel Beach & Spa,"Its absolutely not a 5* hotel! I was given a room on top of staff area. They were so loud! I could not sleep 2 nights. I was sick that i could not even change the hotel! Tried to reach reception however mostly they dont pick up phone (i filmed once that i called 10min nonstop:)) one night they woke me up at 5am i literally screamed the receptionist he offered (!) changing my room. None of the managers reached me or apologised! Whomever their GM, Fom they should immediately resign! They have no clue about hospitality and hospitality standards. On the other hand beach staffs are really nice ,except their supervisor or manager (i dunno his name tall guy who wears light close and evening suits) although he is very(!) friendly only against single ladies! He doesn’t suit for the industry. Its just sad to see such properties exists in my country…",4.0,"Posted June 28, 2026",,Stayed in June 2026,,,,
Ambrosia Hotel Beach & Spa,"A beautiful hotel, no doubt about it. Every detail is perfection. We are fans of pool and beach but we avoided the pool as the shady beds and silent atmosphere was not really out bag but I can understand why the beds were full every day. The beach area was superb lots of beds and areas to eat and chill out. The music at the beach was the same beat for 8 hours a day and was background muzak, became extremely annoying but better than blasting bad music all day. The staff were lovely especially Eylul, such a lovely young lady. Service at the beach was sporadic, beach was a large area to cover. Beach towels provided and plentiful. Breakfast was beautiful, fresh and varied every day. No entertainment at the hotel, not a place for families looking for something for the kids. Beautiful chilled vibe out first stay in Bitez but definitely not our last. Spa was free to use but I never even found it. Room had everything you could need, all toiletries provided, from nail care, toothbrush and toothpaste, cleaned daily, hairdyer, mini fridge tea and coffee, most comfortable beds and pillows, with options for pillows such as hard, soft memory foam etc. We were in room 220 2 small flights up. I do struggle with my mobility but it was manageable, I would ask for ground floor next time. Strange lighting around the hotel, was very dark and lit up dimly as you walked, people with visual impairments would struggle with this and as all the marble floors were striped it gave the impression of steps everywhere. reception rang for taxis if asked and a bus stop outside to take you to Bodrum or top road of Gumbet. At the top end of bitez bay, Overall a really top class place for a relaxing or romantic holiday. Definitely a very classy hotel.",8.0,"Posted June 26, 2026",,Stayed in June 2026,,,Family,
Ambrosia Hotel Beach & Spa,"we found ourselves in an unexpected experience having to disembark our cruise due to a medical emergency. The hospital recommended and booked us into the Ambrosia whilst awaiting surgery & afterwards, how thankful are we! All the staff were so helpful and considerate of our needs, so polite and made us feel so welcome and helped us in so many ways. Yas especially was amazing and definitely went above and beyond to assist and accommodate our requirements, and we cannot fault any of the front of house team. The hotel itself was immaculate and rooms extremely comfortable. The pool area with huge sunbeds and sunshades was a peaceful place for relaxation. The beach bar and restaurant area provided excellent fresh food, prompt service both on the beach and within the restaurant, nothing was too much trouble. Eugene made us feel so welcome, greeted us every time with a smile and hug/handshake and friendly banter, such a diamond and an asset to their hospitality team. All the staff in the bar/restaurant, to the spa team and even the technical services team made us feel so welcome, we just cannot fault our stay. Would highly recommend staying in this beautiful place. Heartfelt HUGE thanks to everyone there who made a very worrying stressful time for us into a memorable pleasurable experience.",10.0,"Posted May 13, 2026",,Stayed in May 2026,,,Couple,
Ambrosia Hotel Beach & Spa,"This stay at Hotel Ambrosia has been an incredible respite. The breakfast is amazing and it is wonderful to be right on the beach. The hotel staff is helpful and friendly. It's also right on the boardwalk for exercise, so it's easy to visit cafes, restaurants, shops and pubs all along Bitez beach. The interior is a bit retro roccoco, but in general, the hotel far exceeded my expectations and you get a lot considering the reasonable rate. Do not believe any of the negative reviews. I had not read the reviews until after I booked, so I was concerned at first when I read a few negative ones, but when I got here, I realized that the hotel has been upgraded and that they may have been written by other business owners in the area who are competing for business. Anyway, this was all around a really relaxing escape.",10.0,"Posted May 18, 2026",,Stayed in May 2026,,,Solo traveler,
